DATABASE_NAME,TEAM
master,teat
tempdb,teat
model,teat
msdb,teat
ReportServer,teat
ReportServerTempDB,teat
a,teat
AdventureWorks2008R2,teat
test_appl,teat
examaudit,teat
tz1,teat
afgh,teat
tanzania,teat
DBAMonitor,teat
distribution,teat
server_sequrity_audit,teat
bdi,teat
ReportServerTemp,teat
SS_DBA_Dashboard,teat
test,teat
test1,teat
test3,teat
fd,teat
IDM-Data-KAZ-NK,teat
reportcache,teat
sequrity_test,teat
servapp,teat
tt,teat
IDM_MEPS_Prod_20130722_FromCountry,teat
QuestWorkDatabase,teat
testert,teat
testone,teat
testuyt,teat
testfor,teat
Spotlight,teat
